Order ID,Shipping Date,Carrier,Tracking Number,Latitude,Longitude,Status,Delivery Days,Late,Region
8103,2025-05-14,SummitLine Express,533050790,42.951558,-100.653919,Delivered,7,False,North America
8302,2025-05-14,AlpineSpeed Delivery,904283904,45.47372,-4.233714,In Transit,6,False,Europe
8380,2025-05-14,SnowRunner Logistics,782021358,12.222978,43.528773,Delivered,5,False,Africa
8409,2025-05-14,PeakPath Shipping,511461845,35.865104,-74.217809,Delivered,4,False,North America
8464,2025-05-14,SnowRunner Logistics,975583927,34.129618,-86.649474,In Transit,3,False,North America
8574,2025-05-14,SummitLine Express,899990805,28.674759,-15.296634,Processing,7,False,Africa
8706,2025-05-14,SnowRunner Logistics,674853680,33.002783,64.894378,Processing,4,False,Asia
8772,2025-05-14,SwiftWing Logistics,481632423,49.950365,8.838086,Delivered,10,False,Europe
8789,2025-05-14,AlpineSpeed Delivery,342596802,43.632029,-120.945836,Processing,6,False,North America
8800,2025-05-14,SummitLine Express,233086498,-17.053156,-19.598,Processing,3,False,Africa
8838,2025-05-14,PeakPath Shipping,200251535,-14.237273,15.721264,Delivered,8,False,Africa
8844,2025-05-14,AlpineSpeed Delivery,907069787,9.210847,0.512818,In Transit,7,False,Africa
8845,2025-05-14,MountainRoute Express,408217879,25.972771,-91.98497,In Transit,2,False,North America
8888,2025-05-14,SummitLine Express,581273332,41.700623,67.043311,Delivered,7,False,Asia
8900,2025-05-14,MountainRoute Express,785334056,45.233711,-1.734807,In Transit,4,False,Europe
8137,2025-05-15,SwiftWing Logistics,375022595,46.726345,-122.996339,Delivered,5,False,North America
8169,2025-05-15,SnowRunner Logistics,643438507,53.516184,-7.234402,Processing,4,False,Europe
8232,2025-05-15,SnowRunner Logistics,621466338,48.32607,19.360662,Processing,5,False,Europe
8271,2025-05-15,SummitLine Express,213619949,33.492926,-111.259565,Delivered,4,False,North America
8299,2025-05-15,SummitLine Express,297927077,35.40037,46.053187,Processing,8,False,Africa
8368,2025-05-15,SnowRunner Logistics,388713803,29.538078,-95.870612,Delivered,8,False,North America
8384,2025-05-15,SwiftWing Logistics,550089511,27.289605,49.28002,Delivered,3,False,Africa
8414,2025-05-15,MountainRoute Express,669660221,57.187745,19.454164,In Transit,1,False,Europe
8428,2025-05-15,PeakPath Shipping,899798573,12.869456,4.534486,Processing,6,False,Africa
8453,2025-05-15,PeakPath Shipping,661871201,49.197668,-121.831942,In Transit,7,False,North America
8477,2025-05-15,SwiftWing Logistics,445705034,52.768179,3.455244,Delivered,5,False,Europe
8539,2025-05-15,MountainRoute Express,891059959,8.704625,-8.616026,In Transit,6,False,Africa
8786,2025-05-15,PeakPath Shipping,692749730,23.817336,100.11594,Delivered,5,False,Asia
8820,2025-05-15,PeakPath Shipping,683419598,22.445741,62.718895,In Transit,7,False,Asia
8829,2025-05-15,SnowRunner Logistics,277407838,49.576009,65.156167,Delivered,8,False,Asia
8055,2025-05-16,SnowRunner Logistics,646877857,37.979181,-95.67126,In Transit,4,False,North America
8116,2025-05-16,SnowRunner Logistics,293621156,46.410318,27.994055,Processing,3,False,Europe
8146,2025-05-16,MountainRoute Express,479182091,54.15783,2.305139,Delivered,7,False,Europe
8249,2025-05-16,SnowRunner Logistics,493097723,45.486269,-97.576998,In Transit,10,False,North America
8327,2025-05-16,SummitLine Express,467089869,30.379157,143.42541,Delivered,8,False,Asia
8351,2025-05-16,SwiftWing Logistics,281896263,-8.970878,34.983756,Processing,5,False,Africa
8396,2025-05-16,MountainRoute Express,722450866,43.495777,-70.635392,Processing,6,False,North America
8561,2025-05-16,PeakPath Shipping,328661089,24.906298,100.876111,In Transit,3,False,Asia
8573,2025-05-16,AlpineSpeed Delivery,421704249,43.377011,-85.855558,In Transit,6,False,North America
8662,2025-05-16,PeakPath Shipping,370214163,8.344584,37.749936,Delivered,6,False,Africa
8698,2025-05-16,SwiftWing Logistics,601957538,26.869538,-118.940648,Delivered,3,False,North America
8810,2025-05-16,PeakPath Shipping,570666813,37.981512,84.976001,In Transit,7,False,Asia
8816,2025-05-16,PeakPath Shipping,497314613,39.971459,-102.137412,Processing,7,False,North America
8843,2025-05-16,SnowRunner Logistics,224523120,33.700325,-72.624275,In Transit,7,False,North America
8847,2025-05-16,MountainRoute Express,819558236,43.798763,-101.702806,In Transit,4,False,North America
8869,2025-05-16,AlpineSpeed Delivery,445007648,56.936925,7.64862,Delivered,2,False,Europe
8901,2025-05-16,MountainRoute Express,461689804,-15.008975,-15.743451,Processing,6,False,Africa
8969,2025-05-16,SummitLine Express,813671424,52.465457,-6.271271,In Transit,7,False,Europe
8035,2025-05-17,AlpineSpeed Delivery,327294197,28.762463,5.860188,Processing,8,False,Africa
8044,2025-05-17,AlpineSpeed Delivery,296228571,42.253829,101.985834,Delivered,6,False,Asia
8149,2025-05-17,SnowRunner Logistics,689719899,10.21858,125.654558,Processing,8,False,Asia
8278,2025-05-17,SummitLine Express,507929957,-37.996784,-9.008922,In Transit,7,False,Africa
8386,2025-05-17,MountainRoute Express,651862689,30.993832,-26.08997,Processing,6,False,Africa
8517,2025-05-17,SummitLine Express,540332379,38.829165,26.487887,In Transit,8,False,Africa
8541,2025-05-17,PeakPath Shipping,232922559,54.889713,21.23676,Processing,6,False,Europe
8545,2025-05-17,MountainRoute Express,317111862,58.122347,26.642333,In Transit,7,False,Europe
8583,2025-05-17,SwiftWing Logistics,501424625,27.404775,-114.629196,In Transit,3,False,North America
8618,2025-05-17,SummitLine Express,961465957,48.852707,-109.332442,In Transit,5,False,North America
8857,2025-05-17,MountainRoute Express,730590421,48.348064,134.912972,Processing,7,False,Asia
8886,2025-05-17,MountainRoute Express,224656064,40.63077,133.603433,Processing,9,False,Asia
8897,2025-05-17,SnowRunner Logistics,629749722,35.304827,118.778106,In Transit,2,False,Asia
8006,2025-05-18,SnowRunner Logistics,237139235,47.096814,7.643097,In Transit,1,False,Europe
8068,2025-05-18,SwiftWing Logistics,420996912,24.156171,129.654549,Delivered,7,False,Asia
8126,2025-05-18,SnowRunner Logistics,979387584,-9.690563,17.001559,Delivered,4,False,Africa
8216,2025-05-18,MountainRoute Express,915431414,36.377933,89.021699,In Transit,8,False,Asia
8245,2025-05-18,SnowRunner Logistics,689943347,36.727685,2.171046,Processing,3,False,Africa
8279,2025-05-18,SnowRunner Logistics,670839422,51.955796,-8.760208,Processing,5,False,Europe
