PRODUCT,DATE,SUMMARY,SENTIMENT_SCORE,Order ID
Racing Edge Skis,2024-01-01,"Build quality is excellent, but the color fades quickly.",-0.016493,3393
UltraLite Jacket,2024-01-02,Very comfortable and lightweight — ideal for long hikes.,-0.030386,3745
Summit Climbing Helmet,2024-01-03,The zipper broke after a week of use; disappointing.,-0.895511,3934
ThermoActive Base Layer,2024-01-04,Solid performance during ski practice; worth the investment.,0.392975,3319
Racing Edge Skis,2024-01-05,Performs well in wet conditions; recommended for mountain trips.,0.585271,3596
Alpine Pro Skis,2024-01-06,Surprisingly high quality for the price — held up well in rough terrain.,0.111822,3550
Alpine Pro Skis,2024-01-07,"Packaging was damaged, though the product survived.",-0.256937,3312
ThermoActive Base Layer,2024-01-08,Performs well in wet conditions; recommended for mountain trips.,0.658417,3757
ThermoActive Base Layer,2024-01-09,"Build quality is excellent, but the color fades quickly.",-0.013265,3393
SnowRunner Boots,2024-01-10,"Packaging was damaged, though the product survived.",0.74791,3713
AllWeather Pants,2024-01-11,Surprisingly high quality for the price — held up well in rough terrain.,0.295877,3732
Racing Edge Skis,2024-01-12,"Delivery was fast, but the material feels slightly cheap.",0.013775,3057
AllWeather Pants,2024-01-13,"Build quality is excellent, but the color fades quickly.",0.875712,3170
IceGrip Poles,2024-01-14,The zipper broke after a week of use; disappointing.,-0.95289,3669
ThermoShield Gloves,2024-01-15,Solid performance during ski practice; worth the investment.,-0.492847,3084
Racing Edge Skis,2024-01-16,Performs well in wet conditions; recommended for mountain trips.,-0.561557,3222
Racing Edge Skis,2024-01-17,The zipper broke after a week of use; disappointing.,0.671326,3346
AllWeather Pants,2024-01-18,The zipper broke after a week of use; disappointing.,0.74592,3565
ThermoShield Gloves,2024-01-19,"Build quality is excellent, but the color fades quickly.",0.783077,3609
ThermoShield Gloves,2024-01-20,Did not fit as described; sizing seems inconsistent.,-0.527162,3067
Summit Climbing Helmet,2024-01-21,Very comfortable and lightweight — ideal for long hikes.,0.215655,3103
Racing Edge Skis,2024-01-22,Very comfortable and lightweight — ideal for long hikes.,-0.29837,3065
SnowRunner Boots,2024-01-23,Performs well in wet conditions; recommended for mountain trips.,0.299935,3089
ThermoActive Base Layer,2024-01-24,"Packaging was damaged, though the product survived.",0.115943,3258
Alpine Pro Skis,2024-01-25,"Delivery was fast, but the material feels slightly cheap.",0.27307,3851
UltraLite Jacket,2024-01-26,Exceeded expectations; kept me warm in freezing winds.,-0.97218,3709
Alpine Pro Skis,2024-01-27,Solid performance during ski practice; worth the investment.,0.358222,3172
ThermoActive Base Layer,2024-01-28,Performs well in wet conditions; recommended for mountain trips.,0.387921,3481
ThermoActive Base Layer,2024-01-29,Surprisingly high quality for the price — held up well in rough terrain.,0.900862,3670
SnowRunner Boots,2024-01-30,Exceeded expectations; kept me warm in freezing winds.,0.070226,3855
ThermoShield Gloves,2024-01-31,Surprisingly high quality for the price — held up well in rough terrain.,-0.182173,3253
SnowRunner Boots,2024-02-01,"Packaging was damaged, though the product survived.",-0.311059,3395
IceGrip Poles,2024-02-02,"Delivery was fast, but the material feels slightly cheap.",0.890258,3784
WindGuard Shell Jacket,2024-02-03,Surprisingly high quality for the price — held up well in rough terrain.,0.289734,3947
ThermoActive Base Layer,2024-02-04,"Delivery was fast, but the material feels slightly cheap.",-0.691449,3656
UltraLite Jacket,2024-02-05,Performs well in wet conditions; recommended for mountain trips.,-0.581295,3541
Alpine Pro Skis,2024-02-06,"Build quality is excellent, but the color fades quickly.",-0.603887,3763
UltraLite Jacket,2024-02-07,"Build quality is excellent, but the color fades quickly.",0.779019,3747
ThermoShield Gloves,2024-02-08,Surprisingly high quality for the price — held up well in rough terrain.,-0.532458,3008
AllWeather Pants,2024-02-09,"Build quality is excellent, but the color fades quickly.",0.71248,3540
IceGrip Poles,2024-02-10,"Delivery was fast, but the material feels slightly cheap.",-0.534878,3338
Racing Edge Skis,2024-02-11,Surprisingly high quality for the price — held up well in rough terrain.,-0.681084,3539
Racing Edge Skis,2024-02-12,Did not fit as described; sizing seems inconsistent.,0.731628,3081
UltraLite Jacket,2024-02-13,Solid performance during ski practice; worth the investment.,0.164463,3421
Racing Edge Skis,2024-02-14,Exceeded expectations; kept me warm in freezing winds.,0.329295,3914
ThermoShield Gloves,2024-02-15,Solid performance during ski practice; worth the investment.,-0.836828,3561
